Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
0,Election Management System Login - [100% Verified],https://r2softtech.com/base/e-pages/election-management-system-login.html,http://pollchief.com/,"PollChief - Election management software,Election services ...",46,68,true,false,false,true,false,false,false,false,2021-12-22,2022-05-06,false,true
0,Election Worker Login - [100% Verified],https://r2softtech.com/base/e-pages/election-worker-login.html,https://indy.pollchief.com/pollaccess/,Election Worker Access - PollChief - Login,46,72,true,false,false,true,false,false,false,false,2022-04-13,2022-04-13,false,false
0,Election Worker Portal - [100% Verified],https://r2softtech.com/base/e-pages/election-worker-portal.html,https://indy.pollchief.com/pollaccess/,Election Worker Access - PollChief,47,72,true,false,false,true,false,false,false,false,2022-01-12,2022-06-04,false,true
0,Konnech & the CCP | The Radio Patriot,https://radiopatriot.net/2022/08/16/konnech-the-ccp/,http://www.pollchief.com/,http://www.pollchief.com,23,82,true,false,false,true,false,false,false,false,2022-09-09,2022-09-09,true,false
0,Alexa top domain list || page 866,https://region.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-21,false,false
0,chicago poll worker connection login,https://registrationhelper.com/post/chicago-poll-worker-connection-login,https://indy.pollchief.com/pollaccess/Login.aspx,Election Worker Access - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-03-03,2022-07-23,false,false
0,chicago poll worker connection login,https://registrationhelper.com/post/chicago-poll-worker-connection-login,https://indy.pollchief.com/pollaccess/Login.aspx,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-03-03,2022-07-23,false,false
0,poll worker login,https://registrationhelper.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,Poll Worker Portal - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-05-09,2022-07-19,false,false
0,poll worker login,https://registrationhelper.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-05-09,2022-07-19,false,false
0,poll worker login,https://registrationhelper.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,POLL WORKER PORTAL - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-05-09,2022-07-19,false,false
