"State","pop2022","pop2010","GrowthRate"
"California","416001","348432","0.1939"
"Alabama","415173","412992","0.0053"
"Florida","415086","322833","0.2858"
"Missouri","414218","360485","0.1491"
"Florida","412650","268685","0.5358"
"Wisconsin","410396","389891","0.0526"
"New York","407010","372813","0.0917"
"Arkansas","402401","382748","0.0513"
"Michigan","402295","425790","-0.0552"
"Florida","401336","297052","0.3511"
"Alabama","398821","334811","0.1912"
"Ohio","394803","368130","0.0725"
"Louisiana","392031","343829","0.1402"
"New Jersey","391506","366513","0.0682"
"Indiana","391426","355329","0.1016"
"Oregon","389223","351715","0.1066"
"North Carolina","388974","350670","0.1092"
"Florida","386598","321520","0.2024"
"Florida","384830","331298","0.1616"
"Texas","383803","313166","0.2256"
"Texas","382729","310235","0.2337"
"Pennsylvania","379569","349497","0.0860"
"Michigan","377752","344791","0.0956"
"Ohio","374707","375586","-0.0023"
"Virginia","374210","316236","0.1833"
"Utah","373919","306479","0.2200"
"Colorado","372480","285465","0.3048"
